name,mp_url,fraction,iskele
Linas Slušnys,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84622,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Kazys Starkevičius,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47839,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Algis Strelčiūnas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73585,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Ingrida Šimonytė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=56180,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Jurgita Šiugždinienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84625,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Justinas Urbanavičius,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=53910,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Arūnas Valinskas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=81543,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Andrius Vyšniauskas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73700,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Emanuelis Zingeris,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=43,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Mykolas Majauskas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=79182,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Stasys Šedbaras,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=7448,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Kristijonas Bartoševičius,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84601,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
Laima Liucija Andrikienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=6,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Tėvynės sąjunga – Lietuvos krikščionys demokratai
